__time,/bota_serial/wrench_stamped/header/stamp/nanosec,/bota_serial/wrench_stamped/header/stamp/sec,/bota_serial/wrench_stamped/wrench/force/x,/bota_serial/wrench_stamped/wrench/force/y,/bota_serial/wrench_stamped/wrench/force/z,/bota_serial/wrench_stamped/wrench/torque/x,/bota_serial/wrench_stamped/wrench/torque/y,/bota_serial/wrench_stamped/wrench/torque/z,/rosout/level,/rosout/line,/rosout/stamp/nanosec,/rosout/stamp/sec,/vrpn_mocap/RigidBody1/pose/header/header/stamp,/vrpn_mocap/RigidBody1/pose/pose/orientation/pitch,/vrpn_mocap/RigidBody1/pose/pose/orientation/roll,/vrpn_mocap/RigidBody1/pose/pose/orientation/w,/vrpn_mocap/RigidBody1/pose/pose/orientation/x,/vrpn_mocap/RigidBody1/pose/pose/orientation/y,/vrpn_mocap/RigidBody1/pose/pose/orientation/yaw,/vrpn_mocap/RigidBody1/pose/pose/orientation/z,/vrpn_mocap/RigidBody1/pose/pose/position/x,/vrpn_mocap/RigidBody1/pose/pose/position/y,/vrpn_mocap/RigidBody1/pose/pose/position/z
1726873519.339576,,,,,,,,,,,,,1726873519.339576006,-0.084532402,-0.180553960,0.360676616,0.006950205,-0.099175900,2.407410639,0.927377164,0.380996168,0.324280381,0.514876425
1726873519.349565,,,,,,,,,,,,,1726873519.349565029,-0.083986618,-0.184049691,0.359966516,0.006142265,-0.100695595,2.408925481,0.927494943,0.381021649,0.324533939,0.514951348
1726873519.359569,,,,,,,,,,,,,1726873519.359568834,-0.082177095,-0.188705506,0.358646959,0.004602794,-0.102529198,2.411656854,0.927814126,0.381150723,0.324813426,0.515036643
1726873519.359663,,,,,,,,,,,,,1726873519.359663248,-0.082006210,-0.190614632,0.356505394,0.004419238,-0.103374876,2.416267078,0.928546250,0.381270319,0.325057715,0.515078485
1726873519.369568,,,,,,,,,,,,,1726873519.369568110,-0.097388155,-0.085052960,0.341261059,0.031294651,-0.056468859,2.447705496,0.937748849,0.382995337,0.325333506,0.518213212
1726873519.379569,,,,,,,,,,,,,1726873519.379569054,-0.098133672,-0.088050269,0.341404855,0.031127799,-0.058002800,2.447517662,0.937608421,0.383012563,0.325674534,0.518296897
1726873519.389579,,,,,,,,,,,,,1726873519.389578581,-0.096744490,-0.091494272,0.340777665,0.029929513,-0.059361901,2.448929505,0.937790453,0.383033782,0.325981319,0.518330336
1726873519.399621,,,,,,,,,,,,,1726873519.399621248,-0.098061671,-0.089805686,0.339829266,0.030894734,-0.058760896,2.450933653,0.938141108,0.383011490,0.326286584,0.518402159
1726873519.409573,,,,,,,,,,,,,1726873519.409573078,-0.097911871,-0.089092201,0.339047432,0.030993434,-0.058375698,2.452572597,0.938444793,0.382989377,0.326608002,0.518419743
1726873519.409669,,,,,,,,,,,,,1726873519.409668684,-0.100119010,-0.087985873,0.338469237,0.032254726,-0.058206011,2.453826096,0.938621581,0.382923961,0.326888323,0.518376112
